,name,track_id,album,artist,artist_id,length,popularity,type,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,key,release_year,release_month,followers,genre
0,DNA.,spotify:track:6HZILIRieu8S0iqY8kIKhj,DAMN.,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,3.0991,80,track,1,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913,4,0.422,1,2017,4,20804965,conscious hip hop
1,Big Shot (with Travis Scott),spotify:track:5cXg9IQS34FzLVdHhp7hu7,Black Panther The Album Music From And Inspired By,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,3.6971,66,track,1,0.00759,0.855,0.478,0.0,0.101,-9.116,0.193,130.018,4,0.284,1,2018,2,20804965,conscious hip hop
2,DUCKWORTH.,spotify:track:2PESSRrfGBuDrJ1I7rm8dc,DAMN. COLLECTORS EDITION.,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,4.14355,49,track,1,0.0536,0.552,0.731,0.0,0.258,-6.873,0.615,174.516,4,0.632,7,2017,12,20804965,conscious hip hop
3,LOVE. FEAT. ZACARI.,spotify:track:0R9U7yIlLm8KAL6iQbwKKT,DAMN. COLLECTORS EDITION.,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,3.5566666666666666,48,track,1,0.264,0.8,0.585,0.0,0.153,-7.343,0.0924,126.058,4,0.779,10,2017,12,20804965,conscious hip hop
4,HUMBLE.,spotify:track:0gvQoTWRxsW5Rd7KgPp0u3,DAMN. COLLECTORS EDITION.,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,2.95,47,track,1,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,4,0.421,1,2017,12,20804965,conscious hip hop
5,The Heart Part 5,spotify:track:5MMW4CZsZiZt2iuqAXzzWC,The Heart Part 5,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,5.537133333333333,77,track,1,0.183,0.7,0.812,0.0,0.0756,-8.128,0.297,97.405,4,0.801,1,2022,5,20804965,conscious hip hop
6,Crocodile Rock,spotify:track:6WCeFNVAXUtNczb7lqLiZU,Don't Shoot Me I'm Only The Piano Player,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,3.924,73,track,0,0.0263,0.621,0.8,1.51e-05,0.0591,-7.284,0.0344,149.91,4,0.968,4,1973,1,9566852,glam rock
7,"Rocket Man (I Think It's Going To Be A Long, Long Time)",spotify:track:3gdewACMIVMEWVbyb8O9sY,Honky Chateau,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,4.69355,81,track,0,0.432,0.601,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,4,0.341,10,1972,5,9566852,glam rock
8,Bennie And The Jets - Remastered 2014,spotify:track:5Wj1rJnCLpMHdLaxsFtJLs,Goodbye Yellow Brick Road (Remastered),Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,5.3758,75,track,0,0.259,0.665,0.673,7.62e-06,0.497,-7.95,0.0493,132.642,4,0.779,0,1973,10,9566852,glam rock
9,Don't Go Breaking My Heart - Remastered,spotify:track:3Oa9AekIq67UBax1H9bXp6,Diamonds (Deluxe),Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,4.435766666666667,49,track,0,0.158,0.722,0.932,0.0,0.0914,-4.761,0.0371,131.473,4,0.802,5,2017,11,9566852,glam rock
10,Close Up Tight,spotify:track:50axZzkJ94XJbJAyTZyyNa,Pure Music,Chase,spotify:artist:3MZzBXBiCadVucO7AAdQUC,7.59155,11,track,0,0.213,0.483,0.962,0.629,0.203,-2.384,0.104,120.007,3,0.627,7,1974,4,3057,
